@RELATION nis

@ATTRIBUTE newsId string
@ATTRIBUTE interval NUMERIC
@ATTRIBUTE count NUMERIC


@DATA
aap-to-take-people-s-feedback-for-delhi-s-budget,5.565142857142858,42
ab-de-villiers-hits-fastest-odi-150,5.076120845921451,331
abc-s-oscars-draw-smallest-tv-audience-in-6-yrs,9.895378156996602,1465
abu-salem-convicted-in-builder-s-murder-case,3.542914285714286,35
abu-salem-sentenced-to-life-imprisonment,4.880289473684209,38
abuses-in-aib-roast-were-dubbed-rakhi-sawant,8.96188235294118,34
action-taken-in-vadra-case-to-be-revealed-soon,5.823366742596806,439
activist-arrested-for-screening-bbc-documentary,5.974012158054707,329
activist-screens-india-s-daughter-in-delhi,4.58183552631579,152
activists-want-fb-to-remove-feeling-fat-emoji,12.328333333333335,15
actor-aditya-pancholi-arrested-for-fight,13.258444444444446,9
actor-harrison-ford-badly-hurt-in-plane-crash,10.854,2
actor-leonard-nimoy-dies-at-83,5.5255373134328405,603
actress-withdraws-rape-charge-against-rubel,7.295136363636365,22
adarsh-scam-hc-refuses-to-drop-chavan-s-name,3.049,3
adele-s-21-uk-s-bestseller-of-the-millennium,5.203653429602889,277
aditya-pancholi-granted-bail-in-pub-brawl-case,7.777666666666666,15
adnan-sami-applies-for-indian-citizenship,16.704454545454546,33
adulthood-begins-at-25-says-new-research,7.142333333333332,63
advance-booking-in-trains-extended-to-120-days,8.654318816303736,1791
afghan-woman-killed-by-a-mob-pronounced-innocent,8.908919741697396,1084
afghanistan-register-first-victory-in-world-cup,5.899109589041097,73
after-audiotape-expose-anjali-damania-quits-aap,8.317857142857143,21
ai-plane-s-tyre-bursts-on-landing-in-kochi,6.966868421052631,76
aib-cancels-live-tour-post-controversy,29.8095,2
aib-files-petition-to-defend-firs-against-them,7.283481927710842,83
aib-roast-deepika-gets-protection-from-arrest,7.06375,4
aib-tvf-most-liked-by-indian-audiences,7.678242320819117,293
air-from-kanye-west-s-concert-selling-for-60k,6.668875,8
air-india-express-to-lease-8-more-planes,0.496,1
air-india-to-hire-100-airbus-co-pilots,4.672108000000003,250
air-india-walk-in-interview-gets-zero-applicants,6.158642857142857,210
air-making-money-from-modi-s-mann-ki-baat,9.784972929936309,628
air-pollution-reducing-the-lifespans-of-indians,5.127176904176903,407
air-strike-on-islamic-state-refinery-kills-30,7.882692307692308,13
air-strikes-against-islamic-state-in-iraq-syria,5.85266334164589,401
air-travel-became-safer-in-2014-iata,6.129083333333334,12
airasia-crash-indonesia-to-end-victims-search,8.848525620873938,3181
airasia-puts-30-lakh-seats-on-discount-offer,11.408420479302835,1836
airtel-bsnl-to-sign-roaming-pact,7.960462893081764,1590
airtel-partners-with-orange-for-video-conference,5.881653188180404,643
ajay-maken-to-be-delhi-congress-chief,5.788655944055937,1430
